Timestamp,Rooms,People,Area(gaz),Floors,Units(September),Units(August),TotalUnits,Peak Time(Hours),Air Conditioner (Inverter),Air Conditioner (non-Inverter),Refrigerator,Deep Freezer,Water Dispenser,Washing Machine,Television,Iron,Microwave Oven,Electric Oven,Electric Stove,Water heater/Electric Geyser,Desktop Computer,Gaming Consoles/Laptops,Electric Kettle,Light sources,Fans
10/13/2023 16:19:59,5,5,200,1,382,494,876,16,2,0,1,0,1,1,3,1,1,0,0,0,0,3,0,48,13
10/13/2023 16:29:25,5,5,140,1,169,207,376,2,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,7,5
10/13/2023 16:29:36,8,10,1000,1,600,600,1200,4,0,0,2,2,2,2,2,2,2,2,2,2,5,6,4,23,20
10/13/2023 16:33:38,5,3,150,1,467,679,1146,6,1,1,1,0,1,1,1,1,1,1,1,1,0,2,0,14,5
10/13/2023 16:42:45,4,4,200,1,800,850,1650,2,0,2,1,0,0,1,1,1,1,0,0,1,1,1,0,9,7
10/13/2023 16:49:48,5,7,250,3,652,550,1202,7,3,0,1,0,1,1,1,1,1,0,0,1,0,0,0,54,8
10/13/2023 16:53:15,4,4,200,1,339,278,617,8,0,2,1,1,0,1,1,1,1,0,0,1,0,2,0,25,8
10/13/2023 16:57:34,5,4,120,1,186,205,391,20,0,0,1,0,1,1,0,1,1,0,0,0,0,2,0,6,8
10/13/2023 17:00:43,5,3,150,1,306,360,666,4,1,1,1,1,1,1,2,1,0,0,1,0,0,1,0,18,9
10/13/2023 17:05:07,10,8,100,1,450,470,920,8,4,0,1,1,1,1,2,1,0,1,1,2,1,1,0,52,6
10/13/2023 17:16:23,6,3,200,2,331,493,824,14,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,5,10
10/13/2023 17:43:33,5,4,200,1,367,450,817,6,0,2,1,0,0,1,1,1,0,0,0,0,0,2,0,15,6
10/13/2023 17:48:21,5,4,100,1,365,272,637,4,0,0,8,9,7,0,1,3,2,2,0,0,0,9,1,19,10
10/13/2023 18:18:06,6,3,250,2,508,728,1236,4,1,1,2,1,1,1,1,1,1,1,0,0,0,1,0,19,9
10/13/2023 21:05:51,6,6,500,1,384,411,795,4,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,18,10
10/13/2023 21:08:17,6,6,500,1,301,378,679,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,7,6
